reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
9278,9302,-1.0,-1.0,-1.0,-1.0,2,9248,9247,-1,-1,-1.0,10.670902077874873,12059.766519372726
9277,9302,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,36.8613684055612,36.8613684055612
9276,9300,-1.0,-1.0,-1.0,-1.0,2,9246,9245,-1,-1,-1.0,30.14926878617973,173764.70834702405
9275,9300,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,81.58329591627073,81.58329591627073
9274,9299,-1.0,-1.0,-1.0,-1.0,2,9244,9243,-1,-1,-1.0,70.29089996175438,420.2417868007998
9273,9299,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,39.35930986679079,39.35930986679079
9272,9298,-1.0,-1.0,-1.0,-1.0,2,9242,9241,-1,-1,-1.0,69.92695619241275,263.59239311674963
9271,9298,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,43.78303448692178,43.78303448692178
9270,9296,-1.0,-1.0,-1.0,-1.0,2,9240,9239,-1,-1,-1.0,2.784638102845548,106.50665189806955
9269,9296,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,26.092775562773863,26.092775562773863
9268,9294,-1.0,-1.0,-1.0,-1.0,2,9238,9237,-1,-1,-1.0,13.281056806373654,212171.27730063145
9267,9294,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,47.07413257186197,47.07413257186197
9266,9293,-1.0,-1.0,-1.0,-1.0,2,9236,9235,-1,-1,-1.0,57.4750697751696,231.90427223321566
9265,9293,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,63.04173663590914,63.04173663590914
9264,9292,-1.0,-1.0,-1.0,-1.0,2,9234,9233,-1,-1,-1.0,28.493283717915105,3730.1085569963625
9263,9292,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,34.96920440682009,34.96920440682009
9262,9291,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,92.01472476695841,92.01472476695841
9261,9291,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,105.5515387874551,105.5515387874551
9260,9290,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,134.68229116662755,134.68229116662755
9259,9290,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,37.35375536284306,37.35375536284306
9258,9288,-1.0,-1.0,-1.0,-1.0,2,9232,9231,-1,-1,-1.0,9.884190766978747,570.8318432601727
9257,9288,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,34.581709872317035,34.581709872317035
9256,9286,-1.0,-1.0,-1.0,-1.0,2,9230,9229,-1,-1,-1.0,4.567544905009793,7610.549687456712
9255,9286,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,52.48612320596954,52.48612320596954
9254,9284,-1.0,-1.0,-1.0,-1.0,2,9228,9227,-1,-1,-1.0,21.60737048500346,4284.145801517028
9253,9284,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,62.5465543922949,62.5465543922949
9252,9280,-1.0,-1.0,-1.0,-1.0,2,9226,9225,-1,-1,-1.0,41.447945196692345,339.0715906524723
9251,9280,-1.0,-1.0,-1.0,-1.0,2,9224,9223,-1,-1,-1.0,29.574560790711818,3109.6460856527174
9250,9279,-1.0,-1.0,-1.0,-1.0,2,9222,9221,-1,-1,-1.0,13.54854279601228,205.6986824877597
9249,9279,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,27.858390642318273,27.858390642318273
9248,9278,-1.0,-1.0,-1.0,-1.0,2,9220,9219,-1,-1,-1.0,42.553606905491726,10448.653492944377
9247,9278,-1.0,-1.0,-1.0,-1.0,2,9218,9217,-1,-1,-1.0,4.241431949702599,1600.4421243504758
9246,9276,-1.0,-1.0,-1.0,-1.0,2,9216,9215,-1,-1,-1.0,27.161348329626733,173535.4095757186
9245,9276,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,199.14950251925973,199.14950251925973
9244,9274,-1.0,-1.0,-1.0,-1.0,2,9214,9213,-1,-1,-1.0,38.96095497359464,153.62191568684972
9243,9274,-1.0,-1.0,-1.0,-1.0,2,9212,9211,-1,-1,-1.0,43.06168543518983,196.32897115219586
9242,9272,-1.0,-1.0,-1.0,-1.0,2,9210,9209,-1,-1,-1.0,46.543163017581826,163.96940444915072
9241,9272,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,29.69603247518616,29.69603247518616
9240,9270,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,45.924554088029936,45.924554088029936
9239,9270,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,57.79745970719408,57.79745970719408
9238,9268,-1.0,-1.0,-1.0,-1.0,2,9208,9207,-1,-1,-1.0,55.12989452680683,212114.70418851628
9237,9268,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,43.292055308750726,43.292055308750726
9236,9266,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,58.47056699616965,58.47056699616965
9235,9266,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,115.95863546187641,115.95863546187641
9234,9264,-1.0,-1.0,-1.0,-1.0,2,9206,9205,-1,-1,-1.0,10.481119864677169,3392.853282474375
9233,9264,-1.0,-1.0,-1.0,-1.0,2,9204,9203,-1,-1,-1.0,100.79292424687141,308.76199080407235
9232,9258,-1.0,-1.0,-1.0,-1.0,2,9202,9201,-1,-1,-1.0,44.459404022107506,520.7415999462958
9231,9258,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,40.20605254689842,40.20605254689842
9230,9256,-1.0,-1.0,-1.0,-1.0,2,9200,9199,-1,-1,-1.0,3.1682891574700585,7476.483858215623
9229,9256,-1.0,-1.0,-1.0,-1.0,2,9198,9197,-1,-1,-1.0,14.163272170099006,129.49828433608124
9228,9254,-1.0,-1.0,-1.0,-1.0,2,9196,9195,-1,-1,-1.0,68.47177731718531,4158.902003502908
9227,9254,-1.0,-1.0,-1.0,-1.0,2,9194,9193,-1,-1,-1.0,2.447183667624644,103.63642752911736
9226,9252,-1.0,-1.0,-1.0,-1.0,2,9192,9191,-1,-1,-1.0,41.505941312833016,230.16412029315097
9225,9252,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,67.45952516262902,67.45952516262902
9224,9251,-1.0,-1.0,-1.0,-1.0,2,9190,9189,-1,-1,-1.0,18.764432594969684,3035.585706416008
9223,9251,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,44.48581844599821,44.48581844599821
9222,9250,-1.0,-1.0,-1.0,-1.0,2,9188,9187,-1,-1,-1.0,27.48373161727809,115.7925959069117
9221,9250,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,76.35754378483574,76.35754378483574
9220,9248,-1.0,-1.0,-1.0,-1.0,2,9186,9185,-1,-1,-1.0,22.053031110016914,10256.82940467866
9219,9248,-1.0,-1.0,-1.0,-1.0,2,9184,9183,-1,-1,-1.0,39.00950317769817,149.27048136022353
9218,9247,-1.0,-1.0,-1.0,-1.0,2,9182,9181,-1,-1,-1.0,36.17077052479551,1560.647899426692
9217,9247,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,35.552792974080944,35.552792974080944
9216,9246,-1.0,-1.0,-1.0,-1.0,2,9180,9179,-1,-1,-1.0,48.755407470552406,173442.12970075815
9215,9246,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,66.11852663080627,66.11852663080627
9214,9244,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,63.0547267309921,63.0547267309921
9213,9244,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,51.606233982262964,51.606233982262964
9212,9243,-1.0,-1.0,-1.0,-1.0,2,9178,9177,-1,-1,-1.0,21.52517108075223,112.00280162689064
9211,9243,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,41.2644840901154,41.2644840901154
9210,9242,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,48.305945231725644,48.305945231725644
9209,9242,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,69.12029619984325,69.12029619984325
9208,9238,-1.0,-1.0,-1.0,-1.0,2,9176,9175,-1,-1,-1.0,17.93635532474842,211958.98360992296
